,FL,SL,RL
2000-01-01 10:00:00,5336.32,-0.04,-0.13
2000-01-01 11:00:00,5323.263759732566,0.25,-0.08
2000-01-01 12:00:00,5310.548260531323,0.35,0.09
2000-01-01 13:00:00,5298.163925312015,0.43,0.35
2000-01-01 14:00:00,5286.11075407464,0.35,0.52
2000-01-01 15:00:00,5274.388746819198,0.19,0.6
2000-01-01 16:00:00,5262.997903545689,0.03,0.61
2000-01-01 17:00:00,5251.938224254112,-0.1,0.51
2000-01-01 18:00:00,5241.209708944471,-0.14,0.39
2000-01-01 19:00:00,5230.812357616761,-0.01,0.27
2000-01-01 20:00:00,5220.746170270983,0.22,0.19
2000-01-01 21:00:00,5211.011146907142,0.49,0.15
2000-01-01 22:00:00,5201.607287525231,0.74,0.23
2000-01-01 23:00:00,5192.534592125254,0.97,0.45
2000-01-02 00:00:00,5183.79306070721,1.15,0.79
2000-01-02 01:00:00,5175.382693271098,1.11,1.01
2000-01-02 02:00:00,5167.303489816921,0.79,1.13
2000-01-02 03:00:00,5159.5554503446765,0.41,1.15
2000-01-02 04:00:00,5152.138574854365,0.09,1.02
2000-01-02 05:00:00,5145.052863345987,-0.23,0.81
2000-01-02 06:00:00,5138.298315819542,-0.63,0.61
2000-01-02 07:00:00,5131.87493227503,-0.98,0.39
2000-01-02 08:00:00,5125.782712712452,-1.07,0.15
2000-01-02 09:00:00,5120.021657131806,-0.95,-0.05
2000-01-02 10:00:00,5114.56,-0.57,-0.2
2000-01-02 11:00:00,5109.493037916314,-0.12,-0.28
2000-01-02 12:00:00,5104.7254742814675,0.25,-0.25
2000-01-02 13:00:00,5100.289074628555,0.5,-0.02
2000-01-02 14:00:00,5096.183838957575,0.57,0.33
2000-01-02 15:00:00,5092.4097672685275,0.54,0.62
2000-01-02 16:00:00,5088.966859561415,0.38,0.76
2000-01-02 17:00:00,5085.855115836234,0.24,0.78
2000-01-02 18:00:00,5083.074536092987,0.11,0.69
2000-01-02 19:00:00,5080.625120331673,0.14,0.58
2000-01-02 20:00:00,5078.506868552291,0.4,0.47
2000-01-02 21:00:00,5076.719780754843,0.67,0.39
2000-01-02 22:00:00,5075.263856939329,0.87,0.35
2000-01-02 23:00:00,5073.913668265864,1.05,0.43
2000-01-03 00:00:00,5072.443785894569,1.21,0.64
2000-01-03 01:00:00,5070.854209825443,1.33,0.88
2000-01-03 02:00:00,5069.144940058483,1.17,1.09
